,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence in --,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States2,"101,466","42,972","163,214","69,850","661,026","194,296","98,971","35,653","447,586","254,956","66,597","56,954","339,435","132,094","79,358","99,660","99,490","102,212","27,425","183,900","173,033","148,059","125,130","78,043","153,284","28,012","47,760","98,226","41,740","224,961","67,296","452,580","243,206","37,344","206,479","96,005","109,454","254,634","30,166","128,797","27,412","155,665","467,338","89,721","20,872","262,563","198,813","43,321","113,492","25,954"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,N/A,424,"1,513",517,"2,328","1,974",336,22,"14,171","22,363",93,118,"2,399","2,295",627,646,"2,157","2,308",56,801,450,"1,821",420,"7,798",544,247,167,"1,989",245,"1,103","1,007","2,203","4,245",878,"1,702",877,444,"1,595",848,"1,896",96,"8,018","8,825",998,0,"4,277","1,289","1,070","1,121",104
Alaska,942,N/A,"1,387",203,"3,556","1,487",0,0,906,422,424,225,723,186,"1,083",17,397,327,225,325,111,524,"1,077",172,143,156,282,633,0,485,64,757,345,103,448,373,"1,232",274,216,270,6,544,"2,165",465,0,360,"3,653",0,"2,500",6
Arizona,"1,337","2,255",N/A,"1,763","59,233","12,810",730,810,"8,522","5,278","2,651","3,991","13,095","3,381","3,423","2,506","1,708","2,174",194,"1,108","2,382","5,651","7,093","1,261","5,195","2,436","1,870","7,647",578,"4,329","6,455","5,674","4,429","2,725","5,095","4,856","10,701","6,332",141,"1,214","1,458","2,194","12,793","8,594",96,"3,593","14,392",318,"3,897",997
Arkansas,574,241,"1,060",N/A,"5,334","2,547",0,0,"1,525","1,805",0,582,"2,252","1,810",176,"2,021","1,222","2,867",0,"1,425",97,961,808,"4,171","6,759",118,475,439,78,359,414,283,"1,749",88,39,"7,854",749,"2,639",0,487,0,"5,383","15,767",657,0,"1,087","1,539",0,958,12
California,"3,715","2,606","26,907","3,471",N/A,"25,038","5,935",491,"24,611","10,233","12,776","5,626","27,117","5,190","4,163","5,202","3,431","5,169","2,578","11,303","16,774","11,538","7,487","3,299","6,841","2,809","2,419","23,768","1,216","12,906","5,312","34,278","13,523","2,223","11,410","4,890","20,548","16,141","1,763","7,134","1,403","5,413","40,999","9,925",895,"21,162","33,143",789,"9,348","1,395"
Colorado,"3,120","2,030","6,765","1,356","27,014",N/A,"1,800",764,"12,385","4,712","3,512","2,984","10,652","2,754","3,035","6,653","2,195","2,195",448,"3,420","2,785","2,661","4,369","1,085","3,774",675,"4,541","3,800","1,416","5,166","4,715","8,560","6,273","1,286","5,144","5,180","4,359","4,840",963,"2,221","1,453","2,453","25,212","3,417",471,"6,099","6,675",42,"3,506","5,135"
Connecticut,206,540,644,160,"2,807",370,N/A,463,"6,589","1,531",473,0,697,534,0,0,227,716,627,992,"12,004",376,160,0,"1,601",0,154,142,472,"3,930",825,"28,542","1,910",187,"1,171",400,579,"3,263","2,061","1,019",0,166,"3,698",149,393,"1,314",374,0,188,257
Delaware,506,0,76,0,580,144,174,N/A,"1,335",179,110,0,857,41,0,0,21,73,0,"9,748",396,441,45,0,153,0,0,0,0,"4,006",44,"3,564",327,0,80,295,104,"11,035",0,144,0,318,"1,152",32,59,"1,510",0,371,296,0
Florida,"9,389","1,400","5,577","3,028","30,919","12,061","11,249","3,831",N/A,"38,800","2,092","1,359","28,631","11,833","3,466","3,376","9,762","6,403","2,960","18,907","18,212","19,169","7,614","4,236","8,820",755,987,"4,681","5,887","27,892","2,811","63,722","23,270",702,"22,946","6,123","3,231","28,507","3,259","10,521",763,"12,023","31,625","6,063","2,816","28,232","6,176","2,187","7,202",396
Georgia,"15,270",986,"6,218","2,055","12,052","4,981","2,216",997,"47,035",N/A,"1,482","1,825","12,025","3,319","1,079","5,213","2,226","6,379",132,"4,027","2,834","5,249","2,591","4,597","4,008",61,650,349,975,"7,389","1,801","15,395","12,684",32,"9,472","2,285",718,"5,967",644,"15,269",132,"15,224","19,969","1,503",38,"11,256","2,649",420,"3,504",630
Hawaii,844,424,"1,666",48,"8,843","1,584",238,14,"2,460","2,915",N/A,466,"1,062",327,779,637,0,248,0,629,862,353,97,171,700,0,136,"1,525",0,125,784,804,"1,399",62,"1,053",0,"1,103","1,218",5,"1,262",45,495,"4,078",962,0,"2,656","2,837",0,213,96
Idaho,58,796,"1,523",265,"21,372","3,823",0,126,"1,833",444,765,N/A,357,169,0,0,269,281,270,305,0,630,348,261,"1,216",938,514,"2,195",0,70,570,598,"1,294","1,900",407,227,"3,866",582,0,145,140,749,"3,685","7,226",0,612,"8,881",0,442,"1,747"
Illinois,"1,682",270,"4,159","2,591","16,046","5,172","1,860",120,"10,513","4,420",460,670,N/A,"16,998","8,837","1,212","2,985","1,053",173,"2,681","2,998","10,793","5,286","2,409","16,147",187,"2,290","2,565",310,"3,698",632,"6,377","3,923",576,"6,736",686,962,"3,090",266,"1,848",686,"5,086","11,642","1,160",51,"4,127","4,846",130,"12,274",414
Indiana,"1,216",131,948,852,"10,096","1,692",413,0,"9,027","4,224",424,39,"29,526",N/A,"1,825","1,590","11,298","1,223",0,"1,093",957,"8,377","1,400",641,"1,288",192,518,919,69,"2,836","1,459","1,551","3,293",78,"10,940","1,695",668,"1,341",0,962,372,"5,122","10,543","1,240",512,"1,867","2,782","1,044","3,757",0
Iowa,817,629,"2,346",693,"2,625","2,257",150,95,"3,945","2,475",266,"1,005","12,997","1,390",N/A,"2,895",467,327,54,579,288,629,"6,834",164,"4,510",443,"6,639",874,46,205,138,306,"1,827",332,991,478,707,"1,418",158,411,"2,685","1,152","3,315",489,227,774,"1,405",550,"3,011",54
Kansas,276,515,"1,404","1,225","6,511","5,871",412,0,"2,661","2,490",419,54,"2,840","1,433","2,119",N/A,168,580,24,623,417,378,679,552,"21,605",338,"2,939",785,338,408,493,"2,196","1,165",90,"2,044","6,508",333,674,0,0,729,788,"9,814",981,0,"1,029",801,0,317,123
Kentucky,"2,851",506,333,342,"4,466",614,799,558,"6,318","2,654",222,31,"5,333","10,192",558,"1,068",N/A,"1,205",0,"1,413",555,"1,602",577,495,"1,643",169,570,215,292,730,"1,409","2,115","3,228",132,"19,493","1,345",368,"1,543",154,"1,473",73,"11,642","6,677",0,85,"2,453","1,428","2,140","1,599",266
Louisiana,"2,830",199,520,"3,289","5,534","1,575",407,0,"4,404","3,382",555,0,"1,829",327,472,581,443,N/A,0,756,350,"2,003",84,"9,011",975,347,141,237,595,522,298,"1,854","1,931",363,983,912,265,883,48,903,16,"1,733","17,674",34,0,"2,073",623,261,319,195
Maine,246,163,322,12,"1,578",849,"1,690",111,"3,059","1,241",0,180,152,99,0,0,41,455,N/A,88,"7,567",227,241,67,659,0,276,64,"4,274",662,38,"2,478","1,074",0,427,11,294,"1,629",336,189,0,255,491,444,569,"1,162",336,72,0,0
Maryland,644,961,"1,689",410,"8,994","2,182","1,726","5,455","7,755","6,343","3,167",347,"2,615","1,887",383,451,899,394,197,N/A,"2,845","1,371",731,806,253,78,0,"1,351",264,"6,361","1,066","13,538","9,437",325,"2,818","1,094",187,"12,297",572,"1,862",0,977,"6,890",810,386,"23,315","1,839","3,926",901,44
Massachusetts,212,539,"1,030",207,"12,745","1,857","9,140","1,582","11,499","3,694",481,732,"2,301","1,134",332,692,930,948,"4,099","2,696",N/A,"2,747","1,814",45,"2,519",148,299,"1,363","12,417","6,872",713,"22,782","3,216",143,"1,791",197,556,"5,212","8,067","2,164",56,957,"4,603","1,335","2,000","3,083","1,672",161,"1,098",0
Michigan,"3,669",348,"4,948",825,"10,874","3,001",783,72,"14,479","5,794",188,216,"13,913","9,171","1,968","1,465","3,957","1,651",343,"1,472","1,770",N/A,"1,175","1,828","4,244",124,620,"1,631",357,"1,360",456,"7,337","3,614",882,"12,303","1,027","2,248","3,398",93,"2,680",119,"3,703","7,033","1,250",330,"3,539","1,572",392,"3,485",635
Minnesota,491,671,"2,587",634,"5,518","4,221",932,131,"3,512","2,247",416,209,"7,297","2,505","5,870",669,360,378,164,934,"1,280","4,664",N/A,573,"1,745",422,"2,225",997,74,"1,144",754,"3,274","1,737","10,579","2,704",301,875,"1,249",123,521,"6,244","2,212","5,529",392,46,"1,552","3,333",44,"20,555",213
Mississippi,"5,936",127,553,"2,251","4,709","1,000",145,68,"4,481","7,946",942,0,"2,611","1,958",271,292,814,"8,103",229,948,183,422,331,N/A,"2,900",420,996,605,30,"1,042",27,769,729,18,352,70,0,682,0,951,0,"11,636","5,056",0,0,286,888,"1,158",402,212
Missouri,"2,518","1,224","2,820","6,560","10,918","4,275",425,63,"6,630","2,818","1,573",774,"22,767","2,088","5,678","22,093","1,587","1,915",0,"1,871","2,025","2,518","1,672","1,543",N/A,330,"3,326","2,203",312,"1,686",987,"1,528","2,806",503,"4,309","6,239","1,382","2,590",108,"1,140",537,"2,320","14,820",760,228,"2,795","3,120",90,"3,784",529
Montana,301,701,386,899,"5,447","2,241",0,0,"1,202",112,20,"1,198",839,317,257,267,68,226,150,188,31,750,948,236,90,N/A,103,581,76,91,227,995,314,"1,698",260,228,"1,242",382,20,0,509,87,"1,569",879,31,683,"3,879",112,497,"4,072"
Nebraska,420,199,"1,456",267,"3,707","4,520",0,11,"2,064",592,144,675,"1,615",171,"8,825","2,337",492,265,0,466,176,903,"2,713",0,"1,929",207,N/A,"1,133",67,58,186,658,359,541,689,951,850,364,0,355,"2,537",684,"4,876","1,467",13,774,351,164,694,572
Nevada,191,"1,024","5,508",551,"47,513","8,518",693,517,"5,825","1,241","4,231","3,256","2,737",862,340,245,539,444,82,"1,364",838,"2,023","1,687",801,"2,488",429,"1,151",N/A,90,764,"1,874","2,280","4,154",153,"2,342",368,"3,501","1,758",85,"1,561",908,"1,022","5,346","4,410",237,"1,147","5,203",0,381,143
New Hampshire,109,151,190,185,"2,418",512,"2,946",0,"2,486",725,307,0,968,311,67,0,45,47,"3,950",834,"21,734",109,43,0,205,0,0,"1,083",N/A,615,0,"4,123","1,113",0,34,259,136,"1,867",582,439,224,167,"1,200",30,"1,874",460,146,0,97,0
New Jersey,169,610,898,175,"7,968","1,099","5,324","1,543","9,038","3,094",353,321,"2,517",884,22,"1,250",312,297,254,"4,817","2,599","1,676",894,78,761,54,364,237,115,N/A,0,"57,235","3,151",171,"1,828",327,809,"22,129",597,"1,288",0,715,"6,591",269,274,"5,750","1,135",329,"1,013",110
New Mexico,770,"1,470","7,129",258,"6,897","3,578",0,0,"1,029",413,509,608,"1,297","1,177",484,134,194,884,0,935,349,495,307,421,611,982,261,"1,008",77,196,N/A,886,261,215,579,630,544,412,291,730,100,431,"16,356",411,0,"1,694",563,0,274,267
New York,"1,849","1,049","3,826","1,209","24,982","3,104","17,340","1,203","28,145","11,328","1,740","1,088","6,879","2,657","2,050","1,381","1,216","1,416","1,611","8,499","14,775","3,088","1,973",758,"4,014",597,98,"2,273","1,997","34,953",615,N/A,"12,000",449,"7,863","2,015","1,658","25,006","2,654","6,044",125,"4,072","10,058",334,"2,929","10,677","5,529",402,"1,269",54
North Carolina,"4,526","1,401","5,624",747,"22,469","4,021","5,780","1,186","33,594","16,892","1,463",97,"6,013","4,392",978,"1,590","1,531","3,491","1,014","10,899","7,605","5,404","2,769","1,723","4,394",433,259,"1,758",273,"11,559","1,047","27,031",N/A,571,"11,359","1,260","1,778","12,542",234,"28,508",12,"8,416","14,655",623,524,"27,833","5,896","3,423","1,895",159
North Dakota,53,152,564,48,"4,051",995,0,167,"1,255",58,292,858,302,74,652,96,26,214,0,95,135,709,"13,844",372,0,"1,071",517,16,0,232,89,247,0,N/A,33,224,716,"1,070",0,546,"1,653",478,"1,678",247,0,434,"1,362",0,861,829
Ohio,"2,487",79,"3,143",683,"11,286","3,209","2,478",406,"15,843","6,133",285,660,"9,676","10,007","1,687","2,169","15,435",823,369,"4,416","3,030","11,424","1,362",573,"2,515",439,619,847,692,"3,252",525,"13,157","7,847",350,N/A,936,854,"15,666",177,"3,714",26,"6,127","12,108","2,100",364,"5,224","2,960","7,343","2,011",248
Oklahoma,"1,133","1,004","1,931","6,835","7,174","3,474",99,0,"4,233","2,164",129,338,"1,959","1,303","1,301","8,159","1,363","2,393",48,982,248,257,"1,083","1,539","3,209",594,144,801,45,231,"1,899","1,930","1,483",98,"1,143",N/A,841,611,216,797,27,"2,337","32,430",204,37,921,"2,018",0,509,251
Oregon,179,"2,808","6,938",526,"50,109","3,185",355,85,"3,266","1,308","2,671","4,444","4,110",750,549,"1,298",129,"1,461",204,"1,384",822,"1,642",930,367,"1,637","1,004",368,"2,802",266,475,"1,046","2,491",955,461,874,"1,121",N/A,"1,138",159,415,576,"1,115","7,049","4,103",308,"3,566","26,150",257,"1,370",227
Pennsylvania,"1,416",294,"3,266",292,"10,995","2,786","3,937","8,913","17,094","5,249","1,639",442,"5,047","3,667",592,449,"2,136","1,050","1,156","19,880","6,074","3,312","1,630","1,615",936,71,447,"1,341","1,715","39,487",760,"40,272","8,950",406,"11,234",679,"1,325",N/A,"1,055","4,570",652,"2,249","7,226","1,182","1,853","8,417","3,199","4,128","1,696",0
Rhode Island,135,109,101,175,"2,418",425,"3,194",0,"4,010",917,59,34,207,247,66,0,0,281,436,259,"11,929",193,0,166,154,423,0,0,492,"2,331",77,"2,273",271,0,99,0,0,497,N/A,202,0,295,980,211,93,"1,643","1,215",0,233,0
South Carolina,"2,133",0,"2,380",232,"7,618","1,756","3,427",464,"14,723","12,686",298,408,"3,918","2,940",154,826,"2,444","1,606",516,"3,276","2,607","2,673",870,"1,144","3,347",506,523,"1,369","1,013","7,658",524,"11,504","28,542",76,"4,867",689,148,"6,964",284,N/A,82,"4,263","9,001",842,14,"8,778","1,420","3,111","1,627",0
South Dakota,144,183,402,83,"3,599","1,284",0,0,580,253,531,44,177,0,"2,479",332,0,"1,257",89,306,0,251,"3,510",14,384,217,"2,892",282,28,135,152,345,215,"1,751",111,105,71,34,0,15,N/A,264,"1,156",170,0,364,195,0,974,728
Tennessee,"9,523",417,"2,522","5,843","7,879","1,823","2,013",648,"19,470","16,865",334,562,"12,376","4,745",334,"1,796","13,138","2,614",586,"1,497","1,109","6,535",978,"8,830","3,819",212,515,854,0,"1,209","1,193","5,413","8,892",0,"5,934","2,680",881,"4,677",47,"2,911",210,N/A,"12,904",652,235,"11,339","1,789",996,"1,426",362
Texas,"10,235","3,543","14,875","14,222","63,174","20,023","2,363",297,"33,740","16,182","6,376","2,536","26,214","9,510","6,086","11,649","6,561","28,700",648,"9,793","5,502","7,030","8,715","11,199","13,881",650,"2,689","7,599",638,"7,460","16,395","20,664","13,288","1,605","13,300","20,573","3,725","12,684",10,"6,123","1,498","11,630",N/A,"9,131",662,"15,436","14,646","1,353","7,443",948
Utah,644,660,"8,144",177,"17,020","4,625",283,0,"1,044","2,218","1,532","6,742","1,810",829,81,367,"1,068",317,151,"1,127",650,604,"1,716",361,"2,070","2,043",580,"5,948",0,976,"1,781","1,770","1,253","2,184","1,944",919,"4,102",987,0,"1,259",0,972,"6,536",N/A,204,"3,187","5,270",142,"1,064","1,722"
Vermont,0,203,132,0,"1,246",689,839,14,"1,645",80,83,0,"1,317",0,80,61,0,149,624,278,"3,975",352,75,0,0,21,101,301,"1,690",699,60,"2,758",291,0,44,14,344,483,432,87,32,179,485,130,N/A,636,181,48,106,643
Virginia,"2,341",736,"2,587","1,184","14,509","4,644","3,368","2,107","17,864","8,708","4,947",107,"6,515","1,565","1,535","2,771","2,765","2,705","1,135","25,578","3,493","2,991","2,010","1,060","2,657",227,"1,054","1,691","1,310","8,992","2,344","12,614","26,277",222,"4,754","3,453",511,"13,350","1,453","6,923",494,"4,121","15,596","2,123",963,N/A,"5,488","5,294",961,305
Washington,"1,605","7,532","11,733","1,074","52,484","8,473","1,310",943,"10,311","5,375","4,855","9,963","8,848","1,171",867,"2,249",394,"2,401",564,"2,623","3,690","3,834","3,192",245,"2,985","4,593",849,"4,398",405,"3,702","2,156","6,217","6,893","1,249","3,520","3,507","28,013","4,611","1,606","3,920",279,"1,295","14,096","7,603",503,"7,976",N/A,547,"2,106",581
West Virginia,239,121,13,0,563,463,41,360,"2,635",649,0,119,194,492,182,405,904,157,39,"4,715",197,805,161,346,0,26,287,30,217,534,0,547,"2,944",0,"5,544",186,30,"4,945",91,612,0,"1,266","2,175",456,0,"5,388",469,N/A,173,0
Wisconsin,757,389,"1,702",601,"4,741","2,101",282,401,"5,505","1,797",279,260,"26,963","2,274","3,018",443,881,"1,047",904,597,654,"4,993","19,873",853,"2,204",445,432,410,190,"1,351",861,"1,337","2,253",575,"2,174",643,708,"2,136",52,857,145,"1,682","5,375","2,141",105,"1,671","2,531",507,N/A,273
Wyoming,264,152,220,722,"2,344","4,254",190,240,148,0,0,600,163,18,511,107,0,134,0,113,0,93,478,0,286,"1,375",473,359,11,125,7,110,205,357,66,315,151,98,0,0,310,178,979,733,0,843,759,0,20,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
